duration,isced11,age,sex,unit,geo\time	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Y1-3,ED3-8,Y20-34,F,PC,AT	86.9	87.2	89.6	90.2	87.8	86.8 b	86.4	88.2	90	85.9	87.4	88.8
Y1-3,ED3-8,Y20-34,F,PC,BE	80.8	80.6	81.4 b	79.7	79.1	80.2 b	80.9	82.2	82.5 b	84.2	84	81.6
Y1-3,ED3-8,Y20-34,F,PC,BG	71.2	72.3 b	60.6 b	67.3	69.1	66.4 b	73.9	68.9	77.5	74.6	76.3	76.4
Y1-3,ED3-8,Y20-34,F,PC,CH	88	84.4 b	86	87.5	86.4	89.0 b	85.3	84.6	89.9	88.6	87.9	90.6
Y1-3,ED3-8,Y20-34,F,PC,CY	79.5 b	78.7	72	71.6	61.7	68.9 b	69.8	74.2	73.8	82.5	79.1	80.2
Y1-3,ED3-8,Y20-34,F,PC,CZ	79.5	76.7	74.7 b	77.2	73.1 b	74.7 b	75	79.3	85.5	83.3	79.5	81
Y1-3,ED3-8,Y20-34,F,PC,DE	84.9	84.3 b	87.6 b	87.1	88	88.3 b	88.6	88.2	88.9	90	90.9	89.0 bp
Y1-3,ED3-8,Y20-34,F,PC,DK	85.4	80.5	76.9	80.6	76.9	78.8 b	77.4	80.0 b	78.1 b	81.7	82.4	81.3
Y1-3,ED3-8,Y20-34,F,PC,EA19	76.7	75.4	75.5	73.7	72.6	73.4 b	73.5	74.6	76.6	78.6	78.2	76.8
Y1-3,ED3-8,Y20-34,F,PC,EE	60.2 b	57.6	68.5	66.8	69.7	79.1 b	76.5	69	74.8	77.5	76.2	76.8
Y1-3,ED3-8,Y20-34,F,PC,EL	62.8 b	57.1	49.1	40.6	37.9	42.2 b	44.1	46.8	51.6	53	59.8	56
Y1-3,ED3-8,Y20-34,F,PC,ES	73.1	70.1	66.4	65	59.4	66.9 b	65.2	65.5	73.3	75	72.2	69.4
Y1-3,ED3-8,Y20-34,F,PC,EU27_2020	76.6	75	74.4	72.9	71.9	73.1 b	73.7	75.1	77.1	78.8	78.6	77.5
Y1-3,ED3-8,Y20-34,F,PC,EU28	77	75.4	75	73.7	73.2	74.3 b	75.3	76.1	78.3	79.9	79.5	: 
Y1-3,ED3-8,Y20-34,F,PC,FI	76.5	76.6	75.3	79.6	79.5	76.5 b	76	74.6	72.3	77.8	83	80.5
Y1-3,ED3-8,Y20-34,F,PC,FR	77	76.3	75.6	76.5	74.4 b	74.2 b	73.1	73	73.7	79.4	74.3	76.6
Y1-3,ED3-8,Y20-34,F,PC,HR	75.3	72.1 b	66.3	59.7	53.7	62.6 b	63.2	72.8	63.2	66.5	75.9	74.7
Y1-3,ED3-8,Y20-34,F,PC,HU	73.2	73.5	71.2	72.4	71	75.0 b	77.8 b	81.1	79.4	83.4	81.1	77.4
Y1-3,ED3-8,Y20-34,F,PC,IE	79.8	74.3	72.9	71.9	74.7	76.0 b	78.2	83.3	82.5 b	82.8	82.5	78.6
Y1-3,ED3-8,Y20-34,F,PC,IS	85.9 b	82	87.8	83.8	86.8	89.1 b	91.3	95.4	93.8	92.7	90.2	87.3 b
Y1-3,ED3-8,Y20-34,F,PC,IT	57.4	55.4	55.2	50.9	47.6	43.4 b	45.6	50	53.1	54.1	55.8	53.1
Y1-3,ED3-8,Y20-34,F,PC,LT	74.5	76.9	68.7	78.5	76.9	78.5 b	80.4	84.5	84.1	82.4	80.1	75.9
Y1-3,ED3-8,Y20-34,F,PC,LU	84.7 b	84.4	83.2	80.6	78.4	84.6 b	82.1 b	79.6	83.2	89.4	89.1	83.2
Y1-3,ED3-8,Y20-34,F,PC,LV	66.4	63.7	71.6	73.9	74.6	74.2 b	75.7	84.9	76.6	82.3	87.1	78.4
Y1-3,ED3-8,Y20-34,F,PC,ME	: 	: 	56.9	54.2	61.5	55.2 b	64.6	59.1	62.8	64.1	65.1	51.1
Y1-3,ED3-8,Y20-34,F,PC,MK	40.4	43.6	42.4	44.4	40.8	39.6 b	50.8	44.7	45.2	48.9	57	50.2
Y1-3,ED3-8,Y20-34,F,PC,MT	93.6	93.9	91.1 b	91.4	91.4	93.4 b	94.4	95.2	95.7 b	95.4	93.8	91.2
Y1-3,ED3-8,Y20-34,F,PC,NL	91.9	89.8	90.8	86.7	84.6 b	85.3 b	86.1	89	90.5	90.7	91.8 b	89.2
Y1-3,ED3-8,Y20-34,F,PC,NO	: 	: 	: 	88.1	88.4	76.5 b	93.1	90.5	89.5	91.5	90.5	91.5
Y1-3,ED3-8,Y20-34,F,PC,PL	75.2	73.1 b	70.6	68.2	68.8 b	72.2 b	74.6	77.2	77.7	79.5 b	80.9	81.3
Y1-3,ED3-8,Y20-34,F,PC,PT	80.2	79.1	73.6 b	64.6	66.6	69.7 b	70.9	71.4	79.5	80.6	79.2	75.4
Y1-3,ED3-8,Y20-34,F,PC,RO	76.3	70.3 b	68.5	67.9	65	61.7 b	62	63.6	74.5	72.3	71.5	74.2
Y1-3,ED3-8,Y20-34,F,PC,RS	: 	44.2	43.4	42.8	44.1	46.0 b	47.3	50.1	57	58.7	64.9	60.2
Y1-3,ED3-8,Y20-34,F,PC,SE	82.1	81.5	83.3	82.4	84.5	85.0 b	86	86.9	87.8	86.9 b	87.7	85.7
Y1-3,ED3-8,Y20-34,F,PC,SI	81.3	77.2	73.4	68.5	68.1	63.9 b	68.5	75.2	73.7	79.6	82.5	80.5
Y1-3,ED3-8,Y20-34,F,PC,SK	72.6	69.6	66.4 b	65.3	68	68.3 b	70.8	72.8	75.6	75.6	76.9	79
Y1-3,ED3-8,Y20-34,F,PC,TR	51.4	52.4	53	53.4	52	54.3 b	52	51.3	51.3	53.1	49.4	44.7
Y1-3,ED3-8,Y20-34,F,PC,UK	79.7	78.1 b	78.5 b	79.4	83.1	81.5 b	84.9	81.6	85.2	87	85.5	: 
Y1-3,ED3-8,Y20-34,M,PC,AT	88.8	88.7	91.1	91.1	91.4	87.5 b	87.4	87.1	88.9	91	90.5	88
Y1-3,ED3-8,Y20-34,M,PC,BE	81.4	82.2	80.2 b	82.1	79	77.6 b	78	80.2	81.3 b	82.6	83.1	84.1
Y1-3,ED3-8,Y20-34,M,PC,BG	75.8	67.2 b	57.9 b	67.2	66.2	64.6 b	75.2	75.5	78	82.4	85.8	80.9
Y1-3,ED3-8,Y20-34,M,PC,CH	85.6	90.4 b	84.2	86.3	82.7	86.1 b	84	88.8	83.2	88.1	87.9	87.4
Y1-3,ED3-8,Y20-34,M,PC,CY	83.6 b	78	73.1	74.7	62.6	68.5 b	67.7	72.5	68.6	73.8	85.3	76.7
Y1-3,ED3-8,Y20-34,M,PC,CZ	89.3	85.5	86.4 b	87.2	87.5 b	88.5 b	90.3	94.2	95.2	95.9	95.3	93.4
Y1-3,ED3-8,Y20-34,M,PC,DE	85.7	87.8 b	88.9 b	90.6	91.2	91.6 b	92.1	92	92.7	94.1	94.4	92.0 bp
Y1-3,ED3-8,Y20-34,M,PC,DK	87	83	87.1	86.1	84	86.1 b	84.1	85.3 b	85.3 b	87.6	87.8	86
Y1-3,ED3-8,Y20-34,M,PC,EA19	78.7	78.8	78.7	77.3	76.6	76.3 b	76.2	78.4	79.6	81.6	82.1	78.6
Y1-3,ED3-8,Y20-34,M,PC,EE	75.4 b	72.1	81.8	81.4	82.5	82.8 b	85.2	87.7	88.5	85.5	90.2	83
