Year,Month,Country,Recent_graduates_20-34_employment_rate_t,Recent_graduates_20-34_employment_rate_m,Recent_graduates_20-34_employment_rate_f
2009,1,BGR,73.6,75.8,71.2
2009,2,BGR,73.6,75.8,71.2
2009,3,BGR,73.6,75.8,71.2
2009,4,BGR,73.6,75.8,71.2
2009,5,BGR,73.6,75.8,71.2
2009,6,BGR,73.6,75.8,71.2
2009,7,BGR,73.6,75.8,71.2
2009,8,BGR,73.6,75.8,71.2
2009,9,BGR,73.6,75.8,71.2
2009,10,BGR,73.6,75.8,71.2
2009,11,BGR,73.6,75.8,71.2
2009,12,BGR,73.6,75.8,71.2
2010,1,BGR,69.7,67.2,72.3
2010,2,BGR,69.7,67.2,72.3
2010,3,BGR,69.7,67.2,72.3
2010,4,BGR,69.7,67.2,72.3
2010,5,BGR,69.7,67.2,72.3
2010,6,BGR,69.7,67.2,72.3
2010,7,BGR,69.7,67.2,72.3
2010,8,BGR,69.7,67.2,72.3
2010,9,BGR,69.7,67.2,72.3
2010,10,BGR,69.7,67.2,72.3
2010,11,BGR,69.7,67.2,72.3
2010,12,BGR,69.7,67.2,72.3
2011,1,BGR,59.2,57.9,60.6
2011,2,BGR,59.2,57.9,60.6
2011,3,BGR,59.2,57.9,60.6
2011,4,BGR,59.2,57.9,60.6
2011,5,BGR,59.2,57.9,60.6
2011,6,BGR,59.2,57.9,60.6
2011,7,BGR,59.2,57.9,60.6
2011,8,BGR,59.2,57.9,60.6
2011,9,BGR,59.2,57.9,60.6
2011,10,BGR,59.2,57.9,60.6
2011,11,BGR,59.2,57.9,60.6
2011,12,BGR,59.2,57.9,60.6
2012,1,BGR,67.3,67.2,67.3
2012,2,BGR,67.3,67.2,67.3
2012,3,BGR,67.3,67.2,67.3
2012,4,BGR,67.3,67.2,67.3
2012,5,BGR,67.3,67.2,67.3
2012,6,BGR,67.3,67.2,67.3
2012,7,BGR,67.3,67.2,67.3
2012,8,BGR,67.3,67.2,67.3
2012,9,BGR,67.3,67.2,67.3
2012,10,BGR,67.3,67.2,67.3
2012,11,BGR,67.3,67.2,67.3
2012,12,BGR,67.3,67.2,67.3
2013,1,BGR,67.7,66.2,69.1
2013,2,BGR,67.7,66.2,69.1
2013,3,BGR,67.7,66.2,69.1
2013,4,BGR,67.7,66.2,69.1
2013,5,BGR,67.7,66.2,69.1
2013,6,BGR,67.7,66.2,69.1
2013,7,BGR,67.7,66.2,69.1
2013,8,BGR,67.7,66.2,69.1
2013,9,BGR,67.7,66.2,69.1
2013,10,BGR,67.7,66.2,69.1
2013,11,BGR,67.7,66.2,69.1
2013,12,BGR,67.7,66.2,69.1
2014,1,BGR,65.4,64.6,66.4
2014,2,BGR,65.4,64.6,66.4
2014,3,BGR,65.4,64.6,66.4
