"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVN","UNEMP","15_24","PC_LF","M","2005-03",16,
"SVN","UNEMP","15_24","PC_LF","M","2005-04",14,
"SVN","UNEMP","15_24","PC_LF","M","2005-05",14,
"SVN","UNEMP","15_24","PC_LF","M","2005-06",14,
"SVN","UNEMP","15_24","PC_LF","M","2005-07",16.9,
"SVN","UNEMP","15_24","PC_LF","M","2005-08",16.9,
"SVN","UNEMP","15_24","PC_LF","M","2005-09",16.9,
"SVN","UNEMP","15_24","PC_LF","M","2005-10",16.7,
"SVN","UNEMP","15_24","PC_LF","M","2005-11",16.7,
"SVN","UNEMP","15_24","PC_LF","M","2005-12",16.7,
"SVN","UNEMP","15_24","PC_LF","M","2006-01",16.1,
"SVN","UNEMP","15_24","PC_LF","M","2006-02",16.1,
"SVN","UNEMP","15_24","PC_LF","M","2006-03",16.1,
"SVN","UNEMP","15_24","PC_LF","M","2006-04",15.8,
"SVN","UNEMP","15_24","PC_LF","M","2006-05",15.8,
"SVN","UNEMP","15_24","PC_LF","M","2006-06",15.8,
"SVN","UNEMP","15_24","PC_LF","M","2006-07",11.9,
"SVN","UNEMP","15_24","PC_LF","M","2006-08",11.9,
"SVN","UNEMP","15_24","PC_LF","M","2006-09",11.9,
"SVN","UNEMP","15_24","PC_LF","M","2006-10",11.2,
"SVN","UNEMP","15_24","PC_LF","M","2006-11",11.2,
"SVN","UNEMP","15_24","PC_LF","M","2006-12",11.2,
"SVN","UNEMP","15_24","PC_LF","M","2007-01",10.2,
"SVN","UNEMP","15_24","PC_LF","M","2007-02",10.2,
"SVN","UNEMP","15_24","PC_LF","M","2007-03",10.2,
"SVN","UNEMP","15_24","PC_LF","M","2007-04",9,
"SVN","UNEMP","15_24","PC_LF","M","2007-05",9,
"SVN","UNEMP","15_24","PC_LF","M","2007-06",9,
"SVN","UNEMP","15_24","PC_LF","M","2007-07",9.7,
"SVN","UNEMP","15_24","PC_LF","M","2007-08",9.7,
"SVN","UNEMP","15_24","PC_LF","M","2007-09",9.7,
"SVN","UNEMP","15_24","PC_LF","M","2007-10",11.4,
"SVN","UNEMP","15_24","PC_LF","M","2007-11",11.4,
"SVN","UNEMP","15_24","PC_LF","M","2007-12",11.4,
"SVN","UNEMP","15_24","PC_LF","M","2008-01",11.4,
"SVN","UNEMP","15_24","PC_LF","M","2008-02",11.4,
"SVN","UNEMP","15_24","PC_LF","M","2008-03",11.4,
"SVN","UNEMP","15_24","PC_LF","M","2008-04",10.4,
"SVN","UNEMP","15_24","PC_LF","M","2008-05",10.4,
"SVN","UNEMP","15_24","PC_LF","M","2008-06",10.4,
"SVN","UNEMP","15_24","PC_LF","M","2008-07",10.3,
"SVN","UNEMP","15_24","PC_LF","M","2008-08",10.3,
"SVN","UNEMP","15_24","PC_LF","M","2008-09",10.3,
"SVN","UNEMP","15_24","PC_LF","M","2008-10",10,
"SVN","UNEMP","15_24","PC_LF","M","2008-11",10,
"SVN","UNEMP","15_24","PC_LF","M","2008-12",10,
"SVN","UNEMP","15_24","PC_LF","M","2009-01",12.7,
"SVN","UNEMP","15_24","PC_LF","M","2009-02",12.7,
"SVN","UNEMP","15_24","PC_LF","M","2009-03",12.7,
"SVN","UNEMP","15_24","PC_LF","M","2009-04",13.4,
"SVN","UNEMP","15_24","PC_LF","M","2009-05",13.4,
"SVN","UNEMP","15_24","PC_LF","M","2009-06",13.4,
"SVN","UNEMP","15_24","PC_LF","M","2009-07",14.4,
