Year,Mounth,Country,Unemp_total,Unemp_25_74,Unemp_15_24,Unemp_men,Unemp_women,Unemp_15_24_men,Unemp_15_24_women,Unemp_25_74_men,Unemp_25_74_women
2005,03,AUT,,5.4,9.6,,,,,,
2005,03,BEL,,7.1,21.1,,,,,,
2005,03,FIN,,6.3,19.3,,,,,,
2005,03,FRA,,7.1,21.9,,,,,,
2005,03,DEU,,10.4,15.1,,,,,,
2005,03,GRC,,8.7,24.9,,,,,,
2005,03,IRL,,3.6,8.4,,,,,,
2005,03,ITA,,6.4,24.5,,,,,,
2005,03,LUX,,3.9,14.7,,,,,,
2005,03,NLD,,4.9,12.1,,,,,,
2005,03,PRT,,7.5,20.3,,,,,,
2005,03,SVK,,15.0,31.1,,,,,,
2005,03,ESP,,8.2,21.1,,,,,,
2005,03,GBR,,3.279452,12.37495,,,,,,
2005,03,USA,,4.059839,11.8,,,,,,
2005,03,EST,,7.9,13.8,,,,,,
2005,03,LVA,,9.9,16.7,,,,,,
2005,03,LTU,,8.6,18.2,,,,,,
2005,03,SVN,,5.3,16.0,,,,,,
2005,04,AUT,,5.0,11.4,,,,,,
2005,04,BEL,,7.0,21.8,,,,,,
2005,04,FIN,,7.1,22.1,,,,,,
2005,04,FRA,,7.2,21.8,,,,,,
2005,04,DEU,,10.6,15.9,,,,,,
2005,04,GRC,,8.6,24.7,,,,,,
2005,04,IRL,,3.8,8.7,,,,,,
2005,04,ITA,,6.4,23.6,,,,,,
2005,04,LUX,,3.9,14.9,,,,,,
2005,04,NLD,,4.9,12.1,,,,,,
2005,04,PRT,,7.5,21.3,,,,,,
2005,04,SVK,,14.8,30.2,,,,,,
2005,04,ESP,,8.1,20.8,,,,,,
2005,04,GBR,,3.277935,12.6923,,,,,,
2005,04,USA,,3.987025,11.8,,,,,,
2005,04,EST,,7.2,16.4,,,,,,
2005,04,LVA,,9.1,18.7,,,,,,
2005,04,LTU,,8.5,18.1,,,,,,
2005,04,SVN,,5.1,14.0,,,,,,
2005,05,AUT,,5.1,12.9,,,,,,
2005,05,BEL,,7.1,21.8,,,,,,
2005,05,FIN,,6.5,19.3,,,,,,
