Year,Month,Country,CovidDeath,CovidCases,Population,Continent
2020,1,AFG,0,0,3.8928341E7,Asia
2020,2,AFG,0,0,3.8928341E7,Asia
2020,3,AFG,0,34,3.8928341E7,Asia
2020,4,AFG,33,962,3.8928341E7,Asia
2020,5,AFG,136,5668,3.8928341E7,Asia
2020,6,AFG,302,18102,3.8928341E7,Asia
2020,7,AFG,539,9685,3.8928341E7,Asia
2020,8,AFG,302,2603,3.8928341E7,Asia
2020,9,AFG,100,1344,3.8928341E7,Asia
2020,10,AFG,50,943,3.8928341E7,Asia
2020,11,AFG,79,2292,3.8928341E7,Asia
2020,12,AFG,222,4211,3.8928341E7,Asia
2021,1,AFG,175,2212,3.8928341E7,Asia
2021,2,AFG,41,638,3.8928341E7,Asia
2021,3,AFG,24,535,3.8928341E7,Asia
2021,4,AFG,122,2721,3.8928341E7,Asia
2021,5,AFG,220,7260,3.8928341E7,Asia
2021,6,AFG,1481,39474,3.8928341E7,Asia
2021,7,AFG,1973,36665,3.8928341E7,Asia
2021,8,AFG,777,9949,3.8928341E7,Asia
2021,9,AFG,128,1817,3.8928341E7,Asia
2021,10,AFG,57,1360,3.8928341E7,Asia
2021,11,AFG,62,857,3.8928341E7,Asia
2021,12,AFG,23,1068,3.8928341E7,Asia
2022,1,AFG,18,581,3.8928341E7,Asia
2020,1,,0,0,3.52325033E8,Africa
2020,2,,0,1,3.52325033E8,Africa
2020,3,,44,1388,3.52325033E8,Africa
2020,4,,1076,20914,3.52325033E8,Africa
2020,5,,1639,62513,3.52325033E8,Africa
2020,6,,3764,158309,3.52325033E8,Africa
2020,7,,6721,352436,3.52325033E8,Africa
2020,8,,10016,453260,3.52325033E8,Africa
2020,9,,8022,251322,3.52325033E8,Africa
2020,10,,5225,216763,3.52325033E8,Africa
2020,11,,6695,279842,3.52325033E8,Africa
2020,12,,8524,367415,3.52325033E8,Africa
2021,1,,24118,747056,3.52325033E8,Africa
2021,2,,12320,318381,3.52325033E8,Africa
2021,3,,8227,288266,3.52325033E8,Africa
2021,4,,8258,322350,3.52325033E8,Africa
2021,5,,8105,252655,3.52325033E8,Africa
2021,6,,9210,451454,3.52325033E8,Africa
2021,7,,20335,1031817,3.52325033E8,Africa
2021,8,,26015,1047727,3.52325033E8,Africa
2021,9,,19047,769973,3.52325033E8,Africa
2021,10,,11031,329844,3.52325033E8,Africa
2021,11,,5457,142078,3.52325033E8,Africa
2021,12,,4465,239993,3.52325033E8,Africa
2022,1,,5033,582781,3.52325033E8,Africa
2020,1,ALB,0,0,2845955.0,Europe
2020,2,ALB,0,0,2845955.0,Europe
2020,3,ALB,2,89,2845955.0,Europe
2020,4,ALB,24,473,2845955.0,Europe
2020,5,ALB,5,384,2845955.0,Europe
2020,6,ALB,5,575,2845955.0,Europe
2020,7,ALB,57,1933,2845955.0,Europe
2020,8,ALB,106,2957,2845955.0,Europe
2020,9,ALB,117,3844,2845955.0,Europe
2020,10,ALB,80,4011,2845955.0,Europe
2020,11,ALB,122,6936,2845955.0,Europe
2020,12,ALB,280,16423,2845955.0,Europe
2021,1,ALB,187,18689,2845955.0,Europe
2021,2,ALB,416,29040,2845955.0,Europe
2021,3,ALB,414,16967,2845955.0,Europe
2021,4,ALB,168,6403,2845955.0,Europe
2021,5,ALB,66,1672,2845955.0,Europe
2021,6,ALB,10,281,2845955.0,Europe
2021,7,ALB,2,196,2845955.0,Europe
2021,8,ALB,8,3261,2845955.0,Europe
2021,9,ALB,79,21079,2845955.0,Europe
2021,10,ALB,225,17942,2845955.0,Europe
2021,11,ALB,187,14157,2845955.0,Europe
2021,12,ALB,155,12605,2845955.0,Europe
2022,1,ALB,49,21752,2845955.0,Europe
2020,1,DZA,0,0,4.3851043E7,Africa
2020,2,DZA,0,0,4.3851043E7,Africa
2020,3,DZA,17,201,4.3851043E7,Africa
2020,4,DZA,358,2428,4.3851043E7,Africa
2020,5,DZA,173,4390,4.3851043E7,Africa
2020,6,DZA,219,3900,4.3851043E7,Africa
2020,7,DZA,244,8276,4.3851043E7,Africa
2020,8,DZA,291,16019,4.3851043E7,Africa
2020,9,DZA,254,11150,4.3851043E7,Africa
2020,10,DZA,204,5772,4.3851043E7,Africa
2020,11,DZA,213,6136,4.3851043E7,Africa
2020,12,DZA,437,23949,4.3851043E7,Africa
2021,1,DZA,119,6931,4.3851043E7,Africa
2021,2,DZA,92,5753,4.3851043E7,Africa
2021,3,DZA,101,3854,4.3851043E7,Africa
2021,4,DZA,133,4166,4.3851043E7,Africa
2021,5,DZA,201,5748,4.3851043E7,Africa
2021,6,DZA,213,9122,4.3851043E7,Africa
2021,7,DZA,307,17327,4.3851043E7,Africa
2021,8,DZA,856,33949,4.3851043E7,Africa
2021,9,DZA,784,12810,4.3851043E7,Africa
2021,10,DZA,275,4529,4.3851043E7,Africa
2021,11,DZA,92,2559,4.3851043E7,Africa
2021,12,DZA,138,3765,4.3851043E7,Africa
2022,1,DZA,129,7118,4.3851043E7,Africa
2020,1,,0,7,7.3872793E8,America
2020,2,,0,41,7.3872793E8,America
2020,3,,591,42415,7.3872793E8,America
2020,4,,48388,861781,7.3872793E8,America
2020,5,,86609,1201052,7.3872793E8,America
2020,6,,91067,1773884,7.3872793E8,America
2020,7,,95512,2946287,7.3872793E8,America
2020,8,,111332,3938240,7.3872793E8,America
2020,9,,107938,3488016,7.3872793E8,America
2020,10,,82590,2998484,7.3872793E8,America
2020,11,,72709,3529362,7.3872793E8,America
2020,12,,83967,6005330,7.3872793E8,America
2021,1,,191120,9114210,7.3872793E8,America
2021,2,,165780,4835385,7.3872793E8,America
2021,3,,144580,4950930,7.3872793E8,America
2021,4,,163774,5721593,7.3872793E8,America
2021,5,,138122,4866499,7.3872793E8,America
2021,6,,131413,4669014,7.3872793E8,America
2021,7,,98782,4031366,7.3872793E8,America
2021,8,,88186,5201340,7.3872793E8,America
2021,9,,94140,6128174,7.3872793E8,America
2021,10,,94572,4968810,7.3872793E8,America
2021,11,,65648,3009048,7.3872793E8,America
2021,12,,52938,3386360,7.3872793E8,America
2022,1,,35803,15433955,7.3872793E8,America
2020,1,ASM,0,0,55197.0,Oceania
2020,2,ASM,0,0,55197.0,Oceania
2020,3,ASM,0,0,55197.0,Oceania
2020,4,ASM,0,0,55197.0,Oceania
2020,5,ASM,0,0,55197.0,Oceania
2020,6,ASM,0,0,55197.0,Oceania
2020,7,ASM,0,0,55197.0,Oceania
2020,8,ASM,0,0,55197.0,Oceania
2020,9,ASM,0,0,55197.0,Oceania
2020,10,ASM,0,0,55197.0,Oceania
2020,11,ASM,0,0,55197.0,Oceania
2020,12,ASM,0,0,55197.0,Oceania
2021,1,ASM,0,0,55197.0,Oceania
2021,2,ASM,0,0,55197.0,Oceania
2021,3,ASM,0,0,55197.0,Oceania
2021,4,ASM,0,0,55197.0,Oceania
2021,5,ASM,0,0,55197.0,Oceania
2021,6,ASM,0,0,55197.0,Oceania
2021,7,ASM,0,0,55197.0,Oceania
2021,8,ASM,0,0,55197.0,Oceania
2021,9,ASM,0,0,55197.0,Oceania
2021,10,ASM,0,3,55197.0,Oceania
2021,11,ASM,0,1,55197.0,Oceania
2021,12,ASM,0,6,55197.0,Oceania
2022,1,ASM,0,7,55197.0,Oceania
2020,1,AND,0,0,76177.0,Europe
2020,2,AND,0,0,76177.0,Europe
2020,3,AND,0,113,76177.0,Europe
