Year,Month,Country,CountryCode,Continent,Population ,Unemployment rate total,Unemployment rate men,Unemployment rate women,Unemployment rate 14-24yo,Unemployment rate 14-24yo men,Unemployment rate 14-24yo women,Unemployment rate 25-75yo,Unemployment rate 25-75yo men,Unemployment rate 25-75yo women,CovidDeath,CovidCases,Recent graduates employment rate total (20-34yo),Recent graduates employment rate men,Recent graduates employment rate women
2013,10,Slovenia,SVN,,,9.6,,,19.2,,,9.0,,,,,73.8,79.3,68.1
2020,3,Honduras,HND,America,9904608.0,,,,,,,,,,0,27,,,
2013,1,Greece,GRC,,,26.8,,,58.0,,,24.5,,,,,,,
2013,11,Slovenia,SVN,,,9.7,,,19.2,,,9.1,,,,,73.8,79.3,68.1
2020,2,Honduras,HND,America,9904608.0,,,,,,,,,,0,0,,,
2013,2,Greece,GRC,,,27.0,,,61.8,,,24.6,,,,,,,
2020,5,Honduras,HND,America,9904608.0,,,,,,,,,,96,2169,,,
2013,3,Greece,GRC,,,27.1,,,58.0,,,24.8,,,,,,,
2020,4,Honduras,HND,America,9904608.0,,,,,,,,,,46,450,,,
2013,4,Greece,GRC,,,27.7,,,57.9,,,25.5,,,,,,,
2020,7,Honduras,HND,America,9904608.0,,,,,,,,,,462,19232,,,
2013,5,Greece,GRC,,,27.8,,,62.5,,,25.4,,,,,,,
2020,6,Honduras,HND,America,9904608.0,,,,,,,,,,170,6212,,,
2013,6,Greece,GRC,,,27.5,,,58.0,,,25.4,,,,,,,
2013,12,Slovenia,SVN,,,9.9,,,19.2,,,9.2,,,,,73.8,79.3,68.1
2020,9,Honduras,HND,America,9904608.0,,,,,,,,,,512,17310,,,
2010,1,Switzerland,CHE,,,,,,,,,,,,,,87.6,90.4,84.4
2013,7,Greece,GRC,,,28.0,,,59.2,,,25.8,,,,,,,
2020,8,Honduras,HND,America,9904608.0,,,,,,,,,,721,19364,,,
2010,2,Switzerland,CHE,,,,,,,,,,,,,,87.6,90.4,84.4
2005,3,Slovakia,SVK,,,,,,31.1,,,15.0,,,,,,,
2005,4,Slovakia,SVK,,,,,,30.2,,,14.8,,,,,,,
2022,1,Bahrain,BHR,Asia,1701583.0,,,,,,,,,,3,24664,,,
2005,9,Slovakia,SVK,,,16.1,,,30.8,,,14.2,,,,,,,
2005,5,Slovakia,SVK,,,,,,29.7,,,14.7,,,,,,,
2005,6,Slovakia,SVK,,,,,,29.5,,,14.5,,,,,,,
2005,7,Slovakia,SVK,,,,,,29.7,,,14.3,,,,,,,
2005,8,Slovakia,SVK,,,,,,29.9,,,14.2,,,,,,,
2010,3,Switzerland,CHE,,,,,,,,,,,,,,87.6,90.4,84.4
2010,4,Switzerland,CHE,,,,,,,,,,,,,,87.6,90.4,84.4
2010,5,Switzerland,CHE,,,,,,,,,,,,,,87.6,90.4,84.4
2010,6,Switzerland,CHE,,,,,,,,,,,,,,87.6,90.4,84.4
2010,7,Switzerland,CHE,,,,,,,,,,,,,,87.6,90.4,84.4
2010,8,Switzerland,CHE,,,,,,,,,,,,,,87.6,90.4,84.4
2020,1,Honduras,HND,America,9904608.0,,,,,,,,,,0,0,,,
2010,9,Switzerland,CHE,,,,,,,,,,,,,,87.6,90.4,84.4
